email,first_name,last_name,cf_id,company_name,description,end_date,remaining_goal_amount
ywalsh@gmail.com,Yaelle,Walsh,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yvitulli@gmail.com,Yasmine,Vitulli,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yvirgilio@yandex.com,Yen,Virgilio,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yvillarreal@yandex.com,Yael,Villarreal,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yvalent@live.com,Yanis,Valent,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
ytomassi@live.com,Yoshie,Tomassi,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ytiano@protonmail.com,Youssef,Tiano,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ythivierge@yahoo.com,Yusuf,Thivierge,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ysmith@yahoo.com,Young,Smith,1911,Willis and Sons,Fundamental incremental database,6/16/21,72323
ysimonnet@outlook.com,Yaeko,Simonnet,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ysavoie@yahoo.com,Yael,Savoie,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ysavage@yandex.com,Youssef,Savage,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
ysarno@outlook.com,Yanira,Sarno,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yrosa@yandex.com,Yvonne,Rosa,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yricigliano@live.com,Yohann,Ricigliano,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
yremy@yahoo.com,Yusuf,Remy,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yragno@yandex.com,Yasser,Ragno,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ypotter@live.com,Yohann,Potter,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
ypohl@yandex.com,Yee,Pohl,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
ypageau@gmail.com,Yassin,Pageau,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yortega@yandex.com,Yasmine,Ortega,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yolivier@live.com,Yasmina,Olivier,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ynoel@live.com,Yulanda,Noel,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
ynoel@gmail.com,Yulanda,Noel,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
ynguyen@yandex.com,Yusuf,Nguyen,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yneal@protonmail.com,Ysabel,Neal,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ymoschetti@live.com,Yanka,Moschetti,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
ymorton@outlook.com,Yanka,Morton,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ymorgano@yahoo.com,Yong,Morgano,1911,Willis and Sons,Fundamental incremental database,6/16/21,72323
ymendoza@gmail.com,Yohann,Mendoza,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ymayer@yahoo.com,Yanis,Mayer,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
ymancia@live.com,Yuki,Mancia,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ymalone@gmail.com,Yasmine,Malone,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
yleon@gmail.com,Yanis,Leon,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ykent@outlook.com,Youcef,Kent,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yjullien@yahoo.com,Yer,Jullien,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
yjoyner@gmail.com,Yasser,Joyner,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
yjordan@outlook.com,Yusuf,Jordan,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
yjardin@live.com,Ylan,Jardin,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yhudson@protonmail.com,Yusuf,Hudson,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yholzknecht@outlook.com,Ylann,Holzknecht,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
yholloway@yahoo.com,Yannis,Holloway,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yhines@protonmail.com,Yuette,Hines,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
yherrera@outlook.com,Youna,Herrera,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
yhanson@outlook.com,Yuko,Hanson,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yhabicht@yahoo.com,Yvonne,Habicht,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yguthrie@yahoo.com,Yoann,Guthrie,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
ygulla@outlook.com,Yacine,Gulla,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yguidi@live.com,Ylan,Guidi,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
ygraham@yandex.com,Yasser,Graham,1911,Willis and Sons,Fundamental incremental database,6/16/21,72323
ygoodwin@yahoo.com,Yanira,Goodwin,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
ygauci@protonmail.com,Yon,Gauci,2510,Parker-Morris,Assimilated next generation instruction set,2/23/21,40291
yfabel@yandex.com,Yasuko,Fabel,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
yestrada@yandex.com,Yoshie,Estrada,2488,Cooper Inc,Polarized discrete product,3/21/21,1503
yenglish@yahoo.com,Yuki,English,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yeberhardt@live.com,Yael,Eberhardt,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
ydudley@gmail.com,Yann,Dudley,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ydreher@outlook.com,Yasmin,Dreher,910,Wiggins Ltd,Upgradable analyzing core,11/24/21,3739
ydiefenbach@gmail.com,Yessenia,Diefenbach,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
ydamours@outlook.com,Yung,Damours,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ycapodanno@live.com,Yvone,Capodanno,1911,Willis and Sons,Fundamental incremental database,6/16/21,72323
ycampbell@yandex.com,Yanis,Campbell,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ycalcaterra@live.com,Yukiko,Calcaterra,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ybuzzeo@yandex.com,Ysabelle,Buzzeo,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ybuckner@yahoo.com,Ylann,Buckner,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ybousquet@gmail.com,Youna,Bousquet,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
ybiermann@protonmail.com,Yon,Biermann,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
ybeltz@protonmail.com,Yahaira,Beltz,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
ybeck@outlook.com,Yaelle,Beck,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
ybaumgartner@gmail.com,Yoan,Baumgartner,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
ybailey@outlook.com,Ysabelle,Bailey,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yallegretto@gmail.com,Yvonne,Allegretto,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
yadams@gmail.com,Yulanda,Adams,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
xtaylor@yandex.com,Xaviera,Taylor,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xriou@outlook.com,Xaviero,Riou,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xpinson@outlook.com,Xanten,Pinson,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xphillips@protonmail.com,Xanthia,Phillips,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xpetty@yandex.com,Xaviero,Petty,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
xpeters@live.com,Xanthe,Peters,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xpergola@yandex.com,Xenia,Pergola,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xmoore@yandex.com,Xavier,Moore,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xmoisan@outlook.com,Xena,Moisan,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xlamb@gmail.com,Xandra,Lamb,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xjung@protonmail.com,Xanthippe,Jung,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
ximbeault@yahoo.com,Xenia,Imbeault,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
xheath@protonmail.com,Xanthe,Heath,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xguy@protonmail.com,Ximena,Guy,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
xgonzalez@yandex.com,Xandra,Gonzalez,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
xglenn@live.com,Xandi,Glenn,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xgalano@protonmail.com,Xanten,Galano,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xfranks@gmail.com,Xaviera,Franks,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xeilerts@outlook.com,Xena,Eilerts,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xdelahaye@yahoo.com,Xavier,Delahaye,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xcurtis@yahoo.com,Xaviero,Curtis,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xcorbin@outlook.com,Xaviera,Corbin,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xchambers@yandex.com,Xandra,Chambers,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xcarton@live.com,Xavier,Carton,948,Burns-Burnett,Front-line scalable definition,5/19/21,1559
xcarter@outlook.com,Xanthe,Carter,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xcardenas@live.com,Ximena,Cardenas,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
xbrady@live.com,Xanten,Brady,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xbernard@outlook.com,Xiao,Bernard,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xberg@outlook.com,Xandra,Berg,948,Burns-Burnett,Front-line scalable definition,5/19/21,1559
xbecker@protonmail.com,Xandi,Becker,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
xbauers@yandex.com,Xaviera,Bauers,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
xbarrett@gmail.com,Xanthippe,Barrett,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
wzimmermann@yandex.com,Willian,Zimmermann,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
wwoods@protonmail.com,Walid,Woods,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wwinters@gmail.com,Wolfgang,Winters,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
wwinkler@outlook.com,Walborg,Winkler,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
wwilliams@yandex.com,Wilbert,Williams,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wwhite@yandex.com,Waldi,White,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wweiss@yandex.com,Wilhelmine,Weiss,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wwebster@yandex.com,Walter,Webster,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wwalton@protonmail.com,Wanda,Walton,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wwall@yahoo.com,Wendell,Wall,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wwall@gmail.com,Walid,Wall,2284,Foley-Cox,Progressive zero administration leverage,1/13/22,151747
wvoigt@outlook.com,Wen,Voigt,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
wvillarreal@gmail.com,Wyatt,Villarreal,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wvaughan@gmail.com,Walda,Vaughan,2284,Foley-Cox,Progressive zero administration leverage,1/13/22,151747
wtomei@outlook.com,Walpurgis,Tomei,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wtomassetti@outlook.com,William,Tomassetti,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wtoia@protonmail.com,Wendell,Toia,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wtano@yandex.com,Waltraud,Tano,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wsykes@yandex.com,Walker,Sykes,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wsolomon@protonmail.com,Wiebke,Solomon,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wsimon@gmail.com,Wulf,Simon,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wshelton@yandex.com,Wava,Shelton,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wsharp@live.com,Walda,Sharp,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
wschwartz@outlook.com,Wendell,Schwartz,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
wschubert@live.com,Walborg,Schubert,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
wschmidt@live.com,Warren,Schmidt,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wschettini@protonmail.com,Wilfred,Schettini,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wsawyer@protonmail.com,Wyatt,Sawyer,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wsavo@outlook.com,Willie,Savo,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wsargent@outlook.com,Williams,Sargent,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wsaporito@yahoo.com,Wyatt,Saporito,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wsandoval@protonmail.com,Waldtraut,Sandoval,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wsampson@live.com,Willie,Sampson,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wrowe@outlook.com,Walker,Rowe,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wrousselle@live.com,Wilburn,Rousselle,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wrose@yandex.com,Ward,Rose,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wrodgers@yandex.com,Wynell,Rodgers,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wroberts@protonmail.com,Walpurga,Roberts,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wrobbins@live.com,Wei,Robbins,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wrenard@live.com,Willard,Renard,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
wreid@gmail.com,Willie,Reid,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wramsey@gmail.com,Wilson,Ramsey,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wpruvost@gmail.com,Wael,Pruvost,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wprost@protonmail.com,Wesley,Prost,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wpinsonneault@protonmail.com,Wernher,Pinsonneault,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wpichette@gmail.com,Wilhelmina,Pichette,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
wpeck@gmail.com,Winter,Peck,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
wpatti@yandex.com,Wendell,Patti,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wpastor@gmail.com,Walburg,Pastor,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wpassamonte@protonmail.com,Willene,Passamonte,1572,Mcmillan Group,Advanced cohesive Graphic Interface,12/29/21,98164
wpasquet@live.com,Walburg,Pasquet,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wpaolo@outlook.com,Wilhelmina,Paolo,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wpalmer@live.com,Wilfreda,Palmer,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
wpaiement@gmail.com,Wiebke,Paiement,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wnieves@yandex.com,Wally,Nieves,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wnazzaro@yahoo.com,Wilfred,Nazzaro,1114,Nunez-Richards,Exclusive attitude-oriented intranet,3/10/21,88154
wmorin@gmail.com,Wolf,Morin,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wmora@protonmail.com,Waldo,Mora,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wmills@gmail.com,Waldeburg,Mills,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wmartinez@live.com,Wilton,Martinez,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
wmartinetti@live.com,Waldi,Martinetti,2510,Parker-Morris,Assimilated next generation instruction set,2/23/21,40291
wmarquez@protonmail.com,Walburga,Marquez,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wmarks@outlook.com,Wesley,Marks,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wmann@outlook.com,Wenona,Mann,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wmaldonado@outlook.com,Wyatt,Maldonado,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wmaisto@protonmail.com,Winford,Maisto,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wlaurita@yandex.com,Willie,Laurita,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wlaunay@yandex.com,Willie,Launay,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
wlange@yandex.com,Walker,Lange,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
wlane@outlook.com,Wiley,Lane,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
wlambert@yandex.com,Wiley,Lambert,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wjouve@gmail.com,Wiebke,Jouve,1911,Willis and Sons,Fundamental incremental database,6/16/21,72323
wjoseph@outlook.com,Wendell,Joseph,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wjordan@live.com,Walter,Jordan,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wjohnson@yahoo.com,Walburga,Johnson,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wjeanne@protonmail.com,Waltraud,Jeanne,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wjans@live.com,Waylon,Jans,2284,Foley-Cox,Progressive zero administration leverage,1/13/22,151747
whuffman@yahoo.com,Wael,Huffman,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
whuff@protonmail.com,William,Huff,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
whuber@outlook.com,Wanda,Huber,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
whoover@yahoo.com,Willian,Hoover,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
whoover@protonmail.com,Will,Hoover,563,Rush-Bowers,Persevering analyzing extranet,12/26/21,71872
whoover@outlook.com,Wilda,Hoover,968,Warren Ltd,Distributed system-worthy application,9/21/21,153288
whermann@protonmail.com,Warner,Hermann,238,Parker PLC,Reduced interactive matrix,7/21/21,41198
whermann@outlook.com,Walter,Hermann,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
whellewege@live.com,Wynell,Hellewege,65,Berry-Richardson,Automated zero tolerance implementation,5/29/21,8362
wheintze@gmail.com,Walburg,Heintze,2284,Foley-Cox,Progressive zero administration leverage,1/13/22,151747
